,rxn,real_molrank,energy_molrank,max_rate
2218,s12 + s9 = s1 + s16,6.225653341075867e-23,4.2975703707063855e-35,8.668353127207728e-41
2219,s16 + s21 = s18 + s24,1.0362366944237879e-08,3.856213894582667e-26,5.216592332160867e-09
2220,s12 + s16 = s13 + s23,5.866992794979415e-34,2.4283541993134821e-54,9.693090325749526e-46
2221,s12 + s5 = s14 + s3,3.949888533604735,6.11009169770082e-08,1.3669006395137777e-24
2222,s24 + s8 = s22 + s3,2.3616264658058914,7.184687797065129e-14,2.2509976017355242e-11
2223,s7 + s9 = s13 + s19,17.40181846709135,0.0014291258309760565,1.2359029702303163e-19
2224,s18 + s9 = s1 + s3,2.3592723387021038e-17,2.9364947744941277e-25,1.7168076139076741e-28
2225,s2 + s9 = s20 + s23,5.878138067489788e-18,3.537188227347155e-27,1.7802261329201103e-41
2226,s1 + s4 = s14 + s15,0.00016011127232610237,2.7193023698510634e-05,3.441412181036982e-18
2227,s18 + s2 = s1 + s21,2.0797552260131653e-21,4.619699581762715e-30,2.673615231755486e-35
2228,s20 + s5 = s23 + s7,1.5642537420178219e-26,9.515944029114831e-20,2.6945067860228674e-47
2229,s15 + s21 = s10 + s8,453755.3009003425,0.052370493523905645,3.5700030559930976e-05
2230,s1 + s9 = s20 + s21,323554152.28958577,0.004468607202473349,4.014134619104781e-10
2231,s6 + s9 = s1 + s13,1.9331761852392975e-49,3.174113756980593e-47,4.060895405671448e-55
2232,s24 + s9 = s14 + s3,1480798319.8521512,0.03428484289827595,0.06599860750341127
2233,s12 + s19 = s13 + s16,1.1074137535025817e-14,8.731859543356245e-12,2.187021218439854e-30
2234,s18 + s6 = s15 + s3,1.7046212810179105e-50,9.022214598911187e-54,7.821992732320375e-55
2235,s12 + s6 = s15 + s16,1.5871456677660807e-43,1.3204042614076953e-63,5.2072081267821364e-55
2236,s1 + s2 = s14 + s22,0.10320523300165374,0.00647843905263117,2.2596138089723757e-32
2237,s11 + s18 = s14 + s16,7.051086066602491e-19,0.00396175265021953,2.157088423277052e-34
2238,s1 + s16 = s13 + s21,0.00010009845783119805,0.06577154779780194,7.707425802163734e-18
2239,s1 + s14 = s2 + s24,0.07279548467298971,0.024189558445743213,2.033157333776702e-15
2240,s18 + s2 = s17 + s20,3.5869081842669047e-12,1.717124853487797e-28,4.6111254999696313e-26
2241,s15 + s22 = s16 + s8,2.6626263155656944e+16,0.1045039579647535,8212801.786451824
2242,s11 + s25 = s16 + s3,3.958797636303584e-20,5.797812275052811e-05,2.42529158462625e-47
2243,s18 + s20 = s1 + s3,6.557063132903924e-21,1.0297548792780298e-21,1.5892393129399078e-37
2244,s12 + s21 = s14 + s8,3.994480695142831e-18,6.219098106892893e-31,3.563324763367491e-30
2245,s6 + s9 = s14 + s16,0.0005591825568754541,1.2496881883833004e-08,1.174637828401583e-09
2246,s5 + s9 = s15 + s18,2.1454947960364774e-14,0.004867617164501375,1.1924186336002793e-30
2247,s13 + s2 = s1 + s22,3.7027372421697106e-48,1.4298655954884504e-53,1.1406852628467531e-60
2248,s5 + s7 = s16 + s8,2.827319250298404e-06,0.0006838535055795847,2.1865914020887467e-32
2249,s18 + s2 = s22 + s3,4.8007993747071915e-22,2.3912007420788516e-31,6.171635090647014e-36
2250,s1 + s2 = s16 + s8,191.74997522293646,0.00647843905263117,4.1982453726635676e-29
2251,s22 + s6 = s14 + s4,99291648380993.83,1.0,99291648380993.83
2252,s22 + s6 = s1 + s24,3.0695552218997995e-33,3.225675092393887e-46,3.0695552218997995e-33
2253,s2 + s21 = s16 + s6,191997776660001.78,0.07327638340029323,6.906563412524781e-05
2254,s5 + s9 = s19 + s20,6.357404512236877e-11,0.004867617164501375,3.5333050519302494e-27
2255,s15 + s6 = s14 + s18,3.638196179854251e+18,0.1045039579647535,1122192172.0932357
2256,s12 + s7 = s14 + s20,0.0029427512030425094,1.1104001853871059e-11,3.6802155427977317e-31
2257,s12 + s21 = s14 + s5,6.504346282179328e-52,1.814656066313478e-53,5.802280683191068e-64
2258,s12 + s4 = s13 + s14,1.0259557311920352e-22,8.583267202911727e-37,2.571613950715165e-36
2259,s4 + s9 = s16 + s3,3.5563477942396e-11,0.03463108209622318,2.5896423038808955e-17
2260,s2 + s4 = s1 + s19,1.2117761457210318e-32,1.8726389974584355e-48,6.387031155591579e-50
2261,s4 + s6 = s1 + s2,2.4924707604479696e-55,5.720320701125635e-62,9.071931685999814e-57
2262,s12 + s7 = s18 + s9,61.82864153257825,0.00014710293106999874,7.73231278685767e-27
2263,s1 + s9 = s15 + s3,0.09200079531262083,0.004468607202473349,1.1413965014395238e-19
2264,s18 + s5 = s15 + s6,35.00168223893329,0.011907102680540647,2.7468854743552635e-16
2265,s18 + s4 = s21 + s7,2.2292640841547487e-38,9.480873774930974e-38,2.814609285225386e-45
2266,s2 + s22 = s1 + s3,5504990617195.96,2.3036353333699853e-09,8.065368616826422e-06
2267,s13 + s9 = s23 + s8,369971177.8211893,0.000202600037590108,8.220229656416444e-05
